DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2015,68.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2016,66.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2017,65.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2018,65.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2019,65.1,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2020,63.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2021,64.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2010,93.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2011,91.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2012,88.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2013,86.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2014,86.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2015,87.6,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2016,88.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2017,88.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2018,88.6,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2019,87.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2020,83.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2021,83.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2010,122.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2011,121.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2012,123.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2013,122.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2014,124.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2015,126.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2016,123.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2017,121.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2018,120.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU15,2019,120.1,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2010,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2011,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2012,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2013,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2014,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2015,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2016,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2017,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2018,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2019,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2020,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU27_2020,2021,100.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2010,104.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2011,104.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2012,105.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2013,105.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2014,106.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2015,108.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2016,106.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2017,105.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2018,105.1,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EU28,2019,105.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2010,138.6,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2011,143.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2012,146.6,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2013,147.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2014,147.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2015,147.1,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2016,146.8,
